time_s,delta_w_mps,delta_q_rads,w_gust_mps,delta_w_aero_mps,delta_e_rad,delta_w_dot,delta_q_dot,perturbation_az_mps2,delta_alpha_rad,delta_CL,delta_Cm,delta_Lift_N,delta_PitchMom_Nm,total_thrust_N,propulsion_model_status
0.0,0.3,0.0,0.0,0.3,0.0,-0.6775058252375293,-0.3037829761306342,-0.6775058252375293,0.007075858867749367,0.02782935292685826,-0.011795456732538196,16.20553752361901,-1.9156278879529456,nan,MODEL_NOT_IDENTIFIED
0.02,0.28427771232023996,-0.006103286129461557,0.0,0.28427771232023996,0.0,-0.8933803490364064,-0.3058379350076258,-0.6346151767710567,0.006705029905415578,0.026067568822615603,-0.010246667542334664,15.179618649944251,-1.6640985209611925,nan,MODEL_NOT_IDENTIFIED
0.04,0.2643289114280221,-0.012204920530750608,0.0,0.2643289114280221,0.0,-1.0996418840279196,-0.30360821997858917,-0.5821815689397252,0.006234513573101691,0.023913796377847293,-0.008531951358703717,13.925437848013193,-1.3856219671685308,nan,MODEL_NOT_IDENTIFIED
0.06,0.24037646565360588,-0.018218831689502966,0.0,0.24037646565360588,0.0,-1.293248648254774,-0.2970660104201953,-0.5208124523093678,0.005669566486977728,0.021392987342859333,-0.0066731949794795,12.457524975092975,-1.0837527273679157,nan,MODEL_NOT_IDENTIFIED
0.08,0.21270278767046924,-0.024058994678426156,0.0,0.21270278767046924,0.0,-1.4712952507104795,-0.2862439181108093,-0.4512496932128645,0.0050168496877770015,0.018535614754536713,-0.004694619274736229,10.793625033878993,-0.7624243647300438,nan,MODEL_NOT_IDENTIFIED
0.1,0.18164667536677168,-0.029640644973422912,0.0,0.18164667536677168,0.0,-1.6310555513417841,-0.27123536321773245,-0.37436097076499075,0.00428435412897054,0.015377319558555277,-0.002622469895231074,8.954492394192393,-0.42589927465578253,nan,MODEL_NOT_IDENTIFIED
0.12,0.14759931384407207,-0.03488149128422345,0.0,0.14759931384407207,0.0,-1.7700235859903053,-0.2521940979310942,-0.2911292805990104,0.003481306379124331,0.011958479462950328,-0.00048467514815558714,6.963639728584478,-0.07871312247226386,nan,MODEL_NOT_IDENTIFIED
0.14,0.11099948332212664,-0.039702910281877994,0.0,0.11099948332212664,0.0,-1.8859519523612813,-0.22933287267268468,-0.2026406671615081,0.002618055594601559,0.008323705027620245,0.0016895245891158615,4.847044576104856,0.274385341210619,nan,MODEL_NOT_IDENTIFIED
0.16,0.0723280295467263,-0.04403110612399156,0.0,0.0723280295467263,0.0,-1.976887080560088,-0.20292125182975318,-0.11007033306905342,0.0017059430975168053,0.004521269089725674,0.003869971084750223,2.6328170863511273,0.6284983026616374,nan,MODEL_NOT_IDENTIFIED
0.18,0.03210166448097408,-0.047798217938511085,0.0,0.03210166448097408,0.0,-2.0412008476992174,-0.17328259805380675,-0.014667298971964561,0.0007571561576240511,0.0006024766494538126,0.006026000865042564,0.3508330925080637,0.9786458949114483,nan,MODEL_NOT_IDENTIFIED
0.2,-0.009133824557345238,-0.0509433589278742,0.0,-0.009133824557345238,0.0,-2.077618040160238,-0.14079025615316576,0.08226218978891571,-0.00021543217830186082,-0.003379016721176258,0.008126870659435768,-1.9676627915811127,1.3198352916726526,nan,MODEL_NOT_IDENTIFIED
0.22,-0.0508108697260853,-0.05341357149366811,0.0,-0.0508108697260853,0.0,-2.085239218787583,-0.10586297932499776,0.17937229305807972,-0.0011984351437645951,-0.007367929046311963,0.010142189855606352,-4.290478867589342,1.647130939721759,nan,MODEL_NOT_IDENTIFIED
0.24,-0.09234782555180941,-0.05516468375049694,0.0,-0.09234782555180941,0.0,-2.0635586009700604,-0.06895965174876142,0.2752960079847087,-0.0021781339344938075,-0.01130810906736579,0.012042353962855202,-6.58491723806892,1.9557249550337745,nan,MODEL_NOT_IDENTIFIED
0.26,-0.1331569768993938,-0.05616205398604123,0.0,-0.1331569768993938,0.0,-2.01247663850088,-0.030573372233323917,0.3686641545420204,-0.0031406665859875773,-0.015143316095673005,0.01379897298480634,-8.818227928814341,2.24100669216869,nan,MODEL_NOT_IDENTIFIED
0.28,-0.17265274330508512,-0.056381191018596115,0.0,-0.17265274330508512,0.0,-1.932307040468545,0.008775026484385101,0.45812465435676747,-0.0040722214825218055,-0.018818011913210645,0.015385288589847803,-10.958070027029986,2.4986304943678674,nan,MODEL_NOT_IDENTIFIED
0.3,-0.21025996668699581,-0.05580823998688101,0.0,-0.21025996668699581,0.0,-1.8237780653019091,0.048543939200730184,0.5423618350250762,-0.00495923283271622,-0.02227815372019806,0.016776574041194373,-12.97297342911594,2.724580643746202,nan,MODEL_NOT_IDENTIFIED
0.32,-0.2454221667083697,-0.05444032485990905,0.0,-0.2454221667083697,0.0,-1.6880279844796022,0.0881783389421473,0.6201154880268667,-0.0057885753821522706,-0.02547197696146786,0.01795051100806662,-14.832794694678055,2.9152325568879713,nan,MODEL_NOT_IDENTIFIED
