time_s,delta_w_mps,delta_q_rads,delta_e_rad,delta_w_dot,delta_q_dot,perturbation_az_mps2,delta_alpha_rad,delta_CL,delta_Cm,delta_Lift_N,delta_PitchMom_Nm,total_thrust_N,propulsion_model_status
0.0,1.0,0.01,0.0,-1.8464746410375037,-1.0518794832516403,-2.270451441037504,0.023586196225831225,0.09326147776482109,-0.04084296984174606,54.30785190723403,-6.633056593717322,nan,MODEL_NOT_IDENTIFIED
0.02,0.955686373930768,-0.009818740942401883,0.0,-2.5626893974130827,-0.929179736645919,-2.146397560934229,0.02254100634588421,0.08816581794502572,-0.03607871487717948,51.34055666920516,-5.859323123078061,nan,MODEL_NOT_IDENTIFIED
0.04,0.8983739306004256,-0.02714485070009017,0.0,-3.1468822170025574,-0.803105712416241,-1.9960035233723583,0.02118922381131292,0.08198820501020392,-0.031183441557918,47.743220486622526,-5.064311763860317,nan,MODEL_NOT_IDENTIFIED
0.06,0.8306639724696564,-0.04193922782779347,0.0,-3.6033172554369504,-0.6764450649064763,-1.8251912945470679,0.01959220345239778,0.07497189072458768,-0.02626539049907844,43.65749327866713,-4.2656012114574615,nan,MODEL_NOT_IDENTIFIED
0.08,0.7550526361875165,-0.05421541595752015,0.0,-3.9381895023390907,-0.5516722215994306,-1.6395816455052579,0.01780881963794992,0.06734775490552831,-0.021420640166554428,39.21782055520641,-3.4787949810932695,nan,MODEL_NOT_IDENTIFIED
0.1,0.6738957106401235,-0.06403322073955076,0.0,-4.159282423839244,-0.43093782351759286,-1.4444224215544081,0.015894636466903932,0.05933135900464312,-0.01673269686294101,34.54972766359614,-2.71745481994703,nan,MODEL_NOT_IDENTIFIED
0.12,0.5893802149462313,-0.07149219067692707,0.0,-4.2756352655064545,-0.31606554529744896,-1.2445322426871173,0.013901237401344396,0.051120633536178885,-0.012272371255586615,29.768473136225673,-1.9930806548306501,nan,MODEL_NOT_IDENTIFIED
0.14,0.5035024897454395,-0.07672510153513504,0.0,-4.297225211846632,-0.2085554966489046,-1.0442589089924676,0.011875708523330511,0.042894169530097725,-0.008097910450377919,24.978053772626776,-1.3151320414831853,nan,MODEL_NOT_IDENTIFIED
0.16,0.41805246009263164,-0.07989156768742531,0.0,-4.2346687116655914,-0.10959337477369704,-0.8474515901557933,0.009860267356436287,0.034810076182893925,-0.004255353367003991,20.270539428801904,-0.691085878891033,nan,MODEL_NOT_IDENTIFIED
0.18,0.3346036507889933,-0.08117188699062558,0.0,-4.0989454130728245,-0.020064524694126326,-0.6574457234481182,0.007892027365388703,0.027005360524651977,-0.0007790766813303516,15.72571178608835,-0.12652507244533853,nan,MODEL_NOT_IDENTIFIED
0.2,0.25450847447562325,-0.08076120894657116,0.0,-3.9011473216701025,0.05942793069499582,-0.4770594283402417,0.006002886820119007,0.019595780145080316,0.002307501210718479,11.41097859085356,0.3747471395951892,nan,MODEL_NOT_IDENTIFIED
0.22,0.17889826846402168,-0.0788640993189448,0.0,-3.6522550121935344,0.12854170881938376,-0.3086001657806953,0.004219529664453849,0.012676116731228086,0.0049910899682988055,7.381532940474387,0.8105723543693576,nan,MODEL_NOT_IDENTIFIED
0.24,0.10868752704167799,-0.07568955832984371,0.0,-3.362941996974418,0.18717151842636864,-0.15388032356436976,0.0025635253401053546,0.006320816254931255,0.007267601283267134,3.6807260761112253,1.180286614789976,nan,MODEL_NOT_IDENTIFIED
0.26,0.04458176066711281,-0.07144653429677812,0.0,-3.043407691302709,0.23542348353466205,-0.014240393078884993,0.001051514155187567,0.0005849409850764596,0.00914115579887655,0.3406217567355196,1.484559129291351,nan,MODEL_NOT_IDENTIFIED
0.28,-0.012911589270653244,-0.06633996028803657,0.0,-2.7032388213144505,0.2735885271595293,0.10942158619043187,-0.00030453527812496445,-0.0044946210445387155,0.010623049638046026,-2.617299445774168,1.7252244320148895,nan,MODEL_NOT_IDENTIFIED
